Authors,Title,Year,Journal,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link
"Ribeiro L.K., Assis M., Moreira A.J., Abreu C.B., Gebara R.C., Grasser G.A., Fukushima H.C.S., Borra R.C., Melão M.G.G., Longo E., Mascaro L.H.","Striking the balance: Unveiling the interplay between photocatalytic efficiency and toxicity of La-incorporated Ag3PO4",2024,"Chemosphere","359",,"142352","","",,"10.1016/j.chemosphere.2024.142352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193620817&doi=10.1016%2fj.chemosphere.2024.142352&partnerID=40&md5=67fa1a5f8e824b890ec6656d15ba2e04"
"Blaskievicz S.F., Francisco J.L., Marken F., Mascaro L.H.","Carbon Nitrides in Photoelectrochemistry: State of the Art and Perspectives Beyond Water Splitting",2024,"ACS Applied Energy Materials","7","8",,"3021","3038",,"10.1021/acsaem.3c02623","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189097717&doi=10.1021%2facsaem.3c02623&partnerID=40&md5=96e2d905810c3d8067808bfc7cc94891"
"Correa A.A., de Araújo M.A., Mascaro L.H., Mattoso L.H.C., Marconcini J.M.","In situ polymerised polyaniline films over multi-walled carbon nanotubes coatings for enhanced photoelectrochemical performance",2024,"Polymer","298",,"126869","","",,"10.1016/j.polymer.2024.126869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187961335&doi=10.1016%2fj.polymer.2024.126869&partnerID=40&md5=01e0ae1c7ea1d26f216faf5fe2831d88"
"Costa M.B., de Araújo M.A., Paiva R., Cruz S.A., Mascaro L.H.","Plasma treatment of electrodeposited Sb2Se3 thin films for improvement of solar-driven hydrogen evolution reaction",2024,"Chemical Engineering Journal","485",,"149526","","",,"10.1016/j.cej.2024.149526","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185834877&doi=10.1016%2fj.cej.2024.149526&partnerID=40&md5=66add3efbacfbb8e59f8d3f6b248e919"
"Gonzaga I.M.D., Gonçalves R., Fernandes C.H.M., Assis M., Teixeira I.F., Mascaro L.H.","Efficient photoelectrochemical real textile wastewater detoxification using photoanodes of C3N4–BiVO4",2024,"Chemosphere","352",,"141315","","",,"10.1016/j.chemosphere.2024.141315","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184563473&doi=10.1016%2fj.chemosphere.2024.141315&partnerID=40&md5=8f20babbd827e57ee130a6b97aba2837"
"Marques G.N., Moreira A.J., Nóbrega E.T.D., Braga S., Argentin M.N., da Cunha Camargo I.L.B., Azevedo E., Pereira E.C., Bernardi M.I.B., Mascaro L.H.","Selective inhibitory activity of multidrug-resistant bacteria by zinc oxide nanoparticles",2024,"Journal of Environmental Chemical Engineering","12","1","111870","","",,"10.1016/j.jece.2023.111870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182405703&doi=10.1016%2fj.jece.2023.111870&partnerID=40&md5=bd024c1c67c829cd7e78af770bdf98d3"
"Almeida C.V.S., Mascaro L.H.","Enhancing electrochemical N2 reduction at mild conditions with FexOy co-deposited on amorphous MoS2",2024,"Electrochimica Acta","476",,"143680","","",,"10.1016/j.electacta.2023.143680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181777949&doi=10.1016%2fj.electacta.2023.143680&partnerID=40&md5=a634070a7aa5cb0676b13ddf19268e1a"
"Silva A.B., Medina M., Goulart L.A., Mascaro L.H.","One-step electrodeposited nickel phosphide electrode for pH-universal electrochemical hydrogen production",2024,"Electrochimica Acta","475",,"143679","","",,"10.1016/j.electacta.2023.143679","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180376250&doi=10.1016%2fj.electacta.2023.143679&partnerID=40&md5=181a6ab646376e435478a845a916ee85"
"Fernandes C.H.M., Goulart L.A., Gonçalves R., Santos G.O.S., Zanoni M.V.B., Mascaro L.H., Lanza M.R.V.","Effective photoelectrocatalysis of levofloxacin antibiotic with Ti/IrO2[sbnd]Nb2O5 in environmental samples",2024,"Electrochimica Acta","475",,"143586","","",,"10.1016/j.electacta.2023.143586","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178996439&doi=10.1016%2fj.electacta.2023.143586&partnerID=40&md5=2cea18bffba0c0946e5bb2d38fa54858"
"Blaskievicz S.F., Teixeira I.F., Mascaro L.H., Carta M., McKeown N.B., Zhao Y., Marken F.","Hydrogen-Mediated Photoelectrocatalysis with Nickel-Modified Poly(Heptazine Imides)",2024,"Electrocatalysis","15","1",,"42","51",,"10.1007/s12678-023-00852-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176400457&doi=10.1007%2fs12678-023-00852-9&partnerID=40&md5=9707699cbbb31f0aca6e1132ae279733"
"Moreira A.J., Blaskievicz S.F., de Assis M., Marques G.N., Menezes W.T., Rabello P.T., Rabahi C., Gobato Y.G., Freschi G.P.G., Mascaro L.H., Pereira E.C.","Effect of synthesis methods of Co-modified TiO2 in its photocatalytic and bactericidal activity",2024,"Research on Chemical Intermediates","50","1",,"297","322",,"10.1007/s11164-023-05159-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174187799&doi=10.1007%2fs11164-023-05159-4&partnerID=40&md5=6770e0de16aec4f8342962ee133b4b67"
"Raja S., da Silva G.T.S.T., Reis E.A., da Cruz J.C., Brunca Silva A., Andrade M.B., Periyasami G., Karthikeyan P., Perepichka I.F., Mascaro L.H., Ribeiro C.","Perylenediimide-Incorporated Covalent Triazine Framework: A Highly Conductive Carbon Support for Copper Single-Atom Catalysts in Electrocatalytic CO2 Conversion",2023,"Energy and Fuels","37","23",,"19113","19123",,"10.1021/acs.energyfuels.3c03268","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179079938&doi=10.1021%2facs.energyfuels.3c03268&partnerID=40&md5=6a5ec8a4d435df628405bff22393c833"
"Silva T.E.M., Moreira A.J., Nobrega E.T.D., Alencar R.G., Rabello P.T., Blaskievicz S.F., Marques G.N., Mascaro L.H., Paris E.C., Lemos S.G., Pereira E.C., Freschi G.P.G.","Hierarchical structure of 3D ZnO experimentally designed to achieve high performance in the sertraline photocatalysis in natural waters",2023,"Chemical Engineering Journal","475",,"146235","","",,"10.1016/j.cej.2023.146235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172279316&doi=10.1016%2fj.cej.2023.146235&partnerID=40&md5=015a2a92af0aec5d741ef3d8a273c68d"
"Gonçalves C.B., da Silva R.T., Dalenogare G., Gonzaga I.M.D., Mascaro L.H., Ferrer M.M., Assis M., Longo E., de Carvalho H.B., Doriguetto A.C.","Comprehensive experimental and theoretical studies on the synthesis and characterization of electrodeposited nanostructured Cu2O thin films",2023,"Surfaces and Interfaces","42",,"103397","","",,"10.1016/j.surfin.2023.103397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171470956&doi=10.1016%2fj.surfin.2023.103397&partnerID=40&md5=95d9c3c3a9e70229dd8c408be0b0fe15"
